WKT;CUSEC
MULTIPOLYGON (((-3.711132737747107 40.420747403194014,-3.711758544424506 40.420671489839293,-3.711927664940423 40.420643399826822,-3.711885865640774 40.420589579584053,-3.711129337330905 40.419896001862647,-3.710858610685124 40.419685959822317,-3.711226722021078 40.419490026847249,-3.711445157277158 40.419488684692176,-3.711564886702193 40.419492466795532,-3.711572720288572 40.419429337313176,-3.711629659844721 40.418960546696987,-3.711634276433758 40.418910941552191,-3.711645796624437 40.418775738693881,-3.711589356635319 40.418771598684536,-3.711563143104185 40.418767260007272,-3.711546878286077 40.418758355577069,-3.711525007604997 40.418749467626611,-3.71149645883596 40.418727097303758,-3.711480481560517 40.41871370909864,-3.711457338199857 40.418686837019173,-3.711418098190153 40.418633001737376,-3.711398624524105 40.41860156650997,-3.71138286436026 40.418574654390063,-3.711369309226626 40.418547706177918,-3.71135905337257 40.418520759285883,-3.711352564558148 40.418498272112181,-3.711347500439595 40.418471271653537,-3.711341092323127 40.418421752365361,-3.711336756469363 40.418358696860146,-3.711337586969561 40.418331678150935,-3.711344548099647 40.418259567524046,-3.711354652558498 40.418205445721561,-3.711369530410359 40.418146808947647,-3.711384531470802 40.418101662447633,-3.711401797611461 40.418065542577665,-3.711426787568845 40.418020330103253,-3.711444194543934 40.417997695890108,-3.711492946378567 40.417938850648653,-3.711537778661576 40.417893520543473,-3.711567643665511 40.417866324039515,-3.711589588383858 40.417848143872561,-3.71160605342843 40.417839042503125,-3.711624038673911 40.417829909251765,-3.711643420979684 40.417820803434495,-3.711654093227646 40.417816233224372,-3.711676133479221 40.417811597542112,-3.711697466825327 40.41781146712276,-3.711729166277468 40.417811271985279,-3.711743863885404 40.417811181505868,-3.711768925429558 40.41766687269569,-3.711832842876794 40.417161984711342,-3.711856097952911 40.417094255716989,-3.711896774573267 40.416832764733627,-3.711899202887838 40.416747122460961,-3.711900080580229 40.416724603465738,-3.711928166620392 40.416526235244937,-3.711967274191235 40.416251249322563,-3.712009039801091 40.416196910850644,-3.712035312642528 40.416030085397139,-3.712041210079603 40.415994017417482,-3.712014415298812 40.416003204988357,-3.711888827391046 40.415972404355067,-3.711861848747581 40.415963588453963,-3.711677244404259 40.415955718592727,-3.711632975308586 40.415951450525341,-3.711595920910557 40.415960718265111,-3.711581895509715 40.415960804587584,-3.711346098110948 40.415953213225933,-3.711254089756673 40.41592675125699,-3.711243943984782 40.415976367903689,-3.711190430291809 40.415967714178514,-3.711133065128537 40.41580136282812,-3.711033731072537 40.41550019518732,-3.711034129130206 40.415432646544531,-3.711410902805399 40.415362746576584,-3.712204881087198 40.41524074262631,-3.712383244407589 40.415176600290415,-3.712477790126521 40.415166996046985,-3.712956372994925 40.41510548616948,-3.713362061238724 40.415053428634749,-3.713510552049197 40.415057014164752,-3.713509803557706 40.414917422774899,-3.713549687908674 40.414579308706628,-3.713587398122904 40.414520535206584,-3.713593757216112 40.414457410135462,-3.713600793220391 40.414394320525204,-3.71364638579693 40.413970598762823,-3.713655183427032 40.41389397659686,-3.713772321359818 40.413893254401337,-3.715013470532219 40.413885597166114,-3.715313297391055 40.413888227266931,-3.716427965965525 40.413899363489577,-3.716861441516773 40.413860644072798,-3.716891012617222 40.413864983259984,-3.718356069658306 40.413887417010351,-3.719393448819047 40.413903521959604,-3.720444105409999 40.413924003348903,-3.721151386213362 40.413933086780951,-3.722326204662642 40.413952796371802,-3.722558977806785 40.413955879733116,-3.722969211535622 40.413980333342977,-3.722343751369124 40.4171148808814,-3.722264724477054 40.417164951323628,-3.72223872778986 40.417183100265348,-3.72221246140915 40.417205791439997,-3.722175264064604 40.417237554518216,-3.722131889168686 40.417282884137606,-3.722057586808344 40.417359915999526,-3.722017199576453 40.417405226916351,-3.721975775636374 40.417459526301222,-3.721940845296511 40.417504798609976,-3.721925980597463 40.417522882473087,-3.721888006339324 40.417586200852341,-3.721865868026457 40.417622393238879,-3.721850734282737 40.417649496816317,-3.721840572848476 40.417667605357174,-3.721823743606554 40.417708228565168,-3.72181225298954 40.417739831927719,-3.721649758499437 40.418218308037808,-3.721590033259123 40.418349311817551,-3.721562582615109 40.418403541853259,-3.721513121810752 40.418493981415075,-3.721493251516844 40.418530123535746,-3.72144656281107 40.418606982667526,-3.721398328858209 40.418679333391012,-3.721374698166909 40.418711048491261,-3.721196446971647 40.418955413467714,-3.720477010424707 40.419779668795073,-3.720086493994388 40.419674016762215,-3.719949417940499 40.420251450318133,-3.719504841413547 40.420258713433405,-3.718055642821124 40.42028573677451,-3.715512330046108 40.420342035571757,-3.7139022384523 40.421424063833875,-3.713084337355891 40.421969635314262,-3.713203472946971 40.422090546689148,-3.71276442271588 40.422336481939695,-3.712695906871592 40.422372922433262,-3.71120601491179 40.423197395672503,-3.711190656761449 40.423206512693348,-3.711044470867793 40.423067738562693,-3.710801070722599 40.422690864992546,-3.710875187401136 40.422663401114796,-3.711260790027069 40.422480859674025,-3.711888242301978 40.422179690773689,-3.711862108079627 40.422148338100229,-3.711786787361559 40.422022673601155,-3.711284386287957 40.421192421082509,-3.711096452370543 40.42086925284039,-3.711132737747107 40.420747403194014)));2807901001
MULTIPOLYGON (((-3.710154641722698 40.422942585876193,-3.710295476899081 40.422815612286549,-3.71057024410717 40.422570654785879,-3.710608007462174 40.422516382005902,-3.710669305465933 40.422493478140638,-3.710112989129618 40.421645542919258,-3.710008327143703 40.421497512350577,-3.709802112162461 40.421228512982445,-3.709651206084533 40.421062769534046,-3.709450918183332 40.420861301790858,-3.709396662617296 40.420816597647686,-3.709351365398565 40.420780838540189,-3.709334172075471 40.420690849178371,-3.70951742353274 40.420743767211562,-3.710253548084378 40.420788813200481,-3.710307808105399 40.420797466361805,-3.710653852134737 40.420781856895985,-3.711010155501086 40.420752655335825,-3.711132737747107 40.420747403194014,-3.711096452370543 40.42086925284039,-3.711284386287957 40.421192421082509,-3.711786787361559 40.422022673601155,-3.711862108079627 40.422148338100229,-3.711888242301978 40.422179690773689,-3.711260790027069 40.422480859674025,-3.710875187401136 40.422663401114796,-3.710801070722599 40.422690864992546,-3.711044470867793 40.423067738562693,-3.711190656761449 40.423206512693348,-3.710875763235896 40.423384132635832,-3.71086617444845 40.423388691605531,-3.710687462085837 40.423277147713151,-3.710154641722698 40.422942585876193)));2807901002
MULTIPOLYGON (((-3.707941047158223 40.421532714814916,-3.707794158016824 40.421438999500012,-3.707185671615944 40.421055345430545,-3.707022512900457 40.420952741225939,-3.706863774782799 40.420850110661434,-3.706414329431434 40.420564527123709,-3.706073177932787 40.420350421257794,-3.705949064120371 40.420315127713508,-3.70622704135218 40.420196342284143,-3.706318147220567 40.420173222597654,-3.707918897952319 40.420231015176292,-3.708125283823102 40.420238753094743,-3.708442547543216 40.420245858123835,-3.708231929412077 40.419972360318155,-3.708151071405726 40.419923314020572,-3.707997349517145 40.419843163345405,-3.707945435700537 40.419811966732517,-3.707979958301777 40.419694633354062,-3.708109215012223 40.419234383578939,-3.708153461055955 40.419058427336132,-3.70818039936853 40.419062762347075,-3.708259397968539 40.419080270375261,-3.70845186568148 40.418957465541915,-3.709079042392085 40.418525740051194,-3.70910715702657 40.41843095469909,-3.709141076730786 40.418327182352257,-3.709186061598281 40.417840344456451,-3.709227361434357 40.417844613653408,-3.709329584275955 40.417862010020031,-3.709426881596146 40.417870455408661,-3.709463789666262 40.417874733451143,-3.70988593593448 40.417912646857957,-3.709946623921454 40.41790328769801,-3.709817265589109 40.418003198504742,-3.709761769444398 40.418435943319594,-3.709672490706635 40.418526604269971,-3.70932336743478 40.41895668864597,-3.709303761226809 40.418983818026824,-3.709271113033873 40.419033577035002,-3.70924689256049 40.419074225746584,-3.709233610524369 40.419105874891706,-3.709207380209272 40.419169081039222,-3.70919597768775 40.419205169114484,-3.709185010668311 40.419250290581111,-3.70917879473423 40.419290883790367,-3.709175601134667 40.419340462091569,-3.709175100696558 40.419394505868325,-3.709176687572678 40.419444036827279,-3.709179917133659 40.419466581050358,-3.709186836594979 40.419498034198064,-3.709202148428709 40.419552021519529,-3.709212427314833 40.419583472976754,-3.709225333563071 40.419619407428371,-3.709235105639537 40.419637392581933,-3.709258868198417 40.41969128841346,-3.709279872112121 40.419691159558951,-3.709308619816725 40.419695465187289,-3.709342289026689 40.41970428206821,-3.70936143099712 40.419708687158831,-3.709366741687319 40.419722195155906,-3.709369628909671 40.419749173017763,-3.709367672805685 40.419771676078383,-3.709364455996563 40.419785254414812,-3.709360519511413 40.419794283099051,-3.70934243256206 40.419825908580492,-3.709331129705459 40.419839504094398,-3.70931254290634 40.419857658723551,-3.709282628867697 40.419880355828127,-3.709325780318721 40.419920623643385,-3.709782514848549 40.420345733511816,-3.709811529327647 40.420368101392263,-3.709837589854934 40.4203949549822,-3.710196904039179 40.420726079010855,-3.710253548084378 40.420788813200481,-3.70951742353274 40.420743767211562,-3.709334172075471 40.420690849178371,-3.709351365398565 40.420780838540189,-3.709396662617296 40.420816597647686,-3.709450918183332 40.420861301790858,-3.709651206084533 40.421062769534046,-3.709802112162461 40.421228512982445,-3.710008327143703 40.421497512350577,-3.710112989129618 40.421645542919258,-3.710669305465933 40.422493478140638,-3.710608007462174 40.422516382005902,-3.71057024410717 40.422570654785879,-3.710295476899081 40.422815612286549,-3.710154641722698 40.422942585876193,-3.709242010438234 40.422367116427431,-3.709084373439158 40.42226446417974,-3.708177989397977 40.421684407351982,-3.708056342149439 40.421608582848997,-3.707941047158223 40.421532714814916)));2807901003
MULTIPOLYGON (((-3.710253548084378 40.420788813200481,-3.710196904039179 40.420726079010855,-3.709837589854934 40.4203949549822,-3.709811529327647 40.420368101392263,-3.709782514848549 40.420345733511816,-3.709325780318721 40.419920623643385,-3.709282628867697 40.419880355828127,-3.70931254290634 40.419857658723551,-3.709331129705459 40.419839504094398,-3.70934243256206 40.419825908580492,-3.709360519511413 40.419794283099051,-3.709364455996563 40.419785254414812,-3.709367672805685 40.419771676078383,-3.709369628909671 40.419749173017763,-3.709366741687319 40.419722195155906,-3.70936143099712 40.419708687158831,-3.709342289026689 40.41970428206821,-3.709308619816725 40.419695465187289,-3.709279872112121 40.419691159558951,-3.709258868198417 40.41969128841346,-3.709235105639537 40.419637392581933,-3.709225333563071 40.419619407428371,-3.709212427314833 40.419583472976754,-3.709202148428709 40.419552021519529,-3.709186836594979 40.419498034198064,-3.709179917133659 40.419466581050358,-3.709176687572678 40.419444036827279,-3.709175100696558 40.419394505868325,-3.709175601134667 40.419340462091569,-3.70917879473423 40.419290883790367,-3.709185010668311 40.419250290581111,-3.70919597768775 40.419205169114484,-3.709207380209272 40.419169081039222,-3.709233610524369 40.419105874891706,-3.70924689256049 40.419074225746584,-3.709271113033873 40.419033577035002,-3.709303761226809 40.418983818026824,-3.70932336743478 40.41895668864597,-3.709672490706635 40.418526604269971,-3.709761769444398 40.418435943319594,-3.709817265589109 40.418003198504742,-3.709946623921454 40.41790328769801,-3.709997364153267 40.417898472493732,-3.71044099814255 40.417805660492697,-3.710548517041738 40.417764445566362,-3.710515165039943 40.417850241809404,-3.711234788681633 40.418048541205394,-3.711401797611461 40.418065542577665,-3.711384531470802 40.418101662447633,-3.711369530410359 40.418146808947647,-3.711354652558498 40.418205445721561,-3.711344548099647 40.418259567524046,-3.711337586969561 40.418331678150935,-3.711336756469363 40.418358696860146,-3.711341092323127 40.418421752365361,-3.711347500439595 40.418471271653537,-3.711352564558148 40.418498272112181,-3.71135905337257 40.418520759285883,-3.711369309226626 40.418547706177918,-3.71138286436026 40.418574654390063,-3.711398624524105 40.41860156650997,-3.711418098190153 40.418633001737376,-3.711457338199857 40.418686837019173,-3.711480481560517 40.41871370909864,-3.71149645883596 40.418727097303758,-3.711525007604997 40.418749467626611,-3.711546878286077 40.418758355577069,-3.711563143104185 40.418767260007272,-3.711589356635319 40.418771598684536,-3.711645796624437 40.418775738693881,-3.711634276433758 40.418910941552191,-3.711629659844721 40.418960546696987,-3.711572720288572 40.419429337313176,-3.711564886702193 40.419492466795532,-3.711445157277158 40.419488684692176,-3.711226722021078 40.419490026847249,-3.710858610685124 40.419685959822317,-3.711129337330905 40.419896001862647,-3.711885865640774 40.420589579584053,-3.711927664940423 40.420643399826822,-3.711758544424506 40.420671489839293,-3.711132737747107 40.420747403194014,-3.711010155501086 40.420752655335825,-3.710653852134737 40.420781856895985,-3.710307808105399 40.420797466361805,-3.710253548084378 40.420788813200481)));2807901004
MULTIPOLYGON (((-3.708153461055955 40.419058427336132,-3.7081777698173 40.418954642074247,-3.708180498356502 40.418936634312693,-3.708217985090295 40.418855314338309,-3.70845504382498 40.41838542350105,-3.708471343428513 40.418353755949852,-3.7085114584211 40.418281460338534,-3.708521576579501 40.4182633712458,-3.708741705885645 40.417897142435855,-3.70876058021477 40.41780241290062,-3.708523186977141 40.417781375084907,-3.708589194904829 40.417722389272882,-3.708692336374685 40.417127189284095,-3.708715336029144 40.41703695339173,-3.708700323175715 40.41683432758861,-3.708695214583195 40.416802862395251,-3.708671858666606 40.416753428805976,-3.70862835325022 40.416397876173832,-3.708643497076288 40.416366197654746,-3.708773580005841 40.416338387559364,-3.709134509127313 40.416264128156065,-3.709313886278923 40.416222474506952,-3.709341589604511 40.416231291962092,-3.709537866754844 40.416194035195204,-3.709575486896671 40.41613075904165,-3.709793004837448 40.416183470903164,-3.709848489088717 40.416205676288243,-3.709815530613643 40.416259955408947,-3.709814871348483 40.416512163960199,-3.709790802462088 40.416638457217445,-3.709837239943289 40.416642654117219,-3.710234762861961 40.416685276025198,-3.710678981300198 40.416651036302412,-3.710737852994942 40.416646170791061,-3.710674277077933 40.416624033592562,-3.710658548081295 40.41659709864885,-3.71075225192976 40.416578518074083,-3.711060820621426 40.416500033078435,-3.711099111834425 40.416463783934617,-3.711131363396382 40.416445558476418,-3.711144905207645 40.416440953545383,-3.711197075358025 40.416422610054411,-3.711226063018124 40.416413445219462,-3.711255415670306 40.416404242996606,-3.711284527409702 40.416404063901759,-3.711319479175816 40.416403848869507,-3.7113508361722 40.416403655944201,-3.711361479056179 40.416403591362361,-3.711375552179022 40.416408027311192,-3.711844118976328 40.416517747316007,-3.711928166620392 40.416526235244937,-3.711900080580229 40.416724603465738,-3.711899202887838 40.416747122460961,-3.711896774573267 40.416832764733627,-3.711856097952911 40.417094255716989,-3.711832842876794 40.417161984711342,-3.711768925429558 40.41766687269569,-3.711743863885404 40.417811181505868,-3.711729166277468 40.417811271985279,-3.711697466825327 40.41781146712276,-3.711676133479221 40.417811597542112,-3.711654093227646 40.417816233224372,-3.711643420979684 40.417820803434495,-3.711624038673911 40.417829909251765,-3.71160605342843 40.417839042503125,-3.711589588383858 40.417848143872561,-3.711567643665511 40.417866324039515,-3.711537778661576 40.417893520543473,-3.711492946378567 40.417938850648653,-3.711444194543934 40.417997695890108,-3.711426787568845 40.418020330103253,-3.711401797611461 40.418065542577665,-3.711234788681633 40.418048541205394,-3.710515165039943 40.417850241809404,-3.710548517041738 40.417764445566362,-3.71044099814255 40.417805660492697,-3.709997364153267 40.417898472493732,-3.709946623921454 40.41790328769801,-3.70988593593448 40.417912646857957,-3.709463789666262 40.417874733451143,-3.709426881596146 40.417870455408661,-3.709329584275955 40.417862010020031,-3.709227361434357 40.417844613653408,-3.709186061598281 40.417840344456451,-3.709141076730786 40.418327182352257,-3.70910715702657 40.41843095469909,-3.709079042392085 40.418525740051194,-3.70845186568148 40.418957465541915,-3.708259397968539 40.419080270375261,-3.70818039936853 40.419062762347075,-3.708153461055955 40.419058427336132)));2807901006
MULTIPOLYGON (((-3.708773580005841 40.416338387559364,-3.708716958758232 40.416311707530667,-3.708677001841787 40.416050688440315,-3.708704008352256 40.415955927056743,-3.708933739674327 40.415904980608495,-3.709363025895044 40.41581677784994,-3.709444837222043 40.41578920910414,-3.70952082711472 40.4157662526192,-3.710270584266784 40.415572446559821,-3.7103444925799 40.415558502354841,-3.710498156453043 40.415530495888198,-3.710623145886513 40.415507238454104,-3.711034129130206 40.415432646544531,-3.711033731072537 40.41550019518732,-3.711133065128537 40.41580136282812,-3.711190430291809 40.415967714178514,-3.711243943984782 40.415976367903689,-3.711254089756673 40.41592675125699,-3.711346098110948 40.415953213225933,-3.711581895509715 40.415960804587584,-3.711595920910557 40.415960718265111,-3.711632975308586 40.415951450525341,-3.711677244404259 40.415955718592727,-3.711861848747581 40.415963588453963,-3.711888827391046 40.415972404355067,-3.712014415298812 40.416003204988357,-3.712041210079603 40.415994017417482,-3.712035312642528 40.416030085397139,-3.712009039801091 40.416196910850644,-3.711967274191235 40.416251249322563,-3.711928166620392 40.416526235244937,-3.711844118976328 40.416517747316007,-3.711375552179022 40.416408027311192,-3.711361479056179 40.416403591362361,-3.7113508361722 40.416403655944201,-3.711319479175816 40.416403848869507,-3.711284527409702 40.416404063901759,-3.711255415670306 40.416404242996606,-3.711226063018124 40.416413445219462,-3.711197075358025 40.416422610054411,-3.711144905207645 40.416440953545383,-3.711131363396382 40.416445558476418,-3.711099111834425 40.416463783934617,-3.711060820621426 40.416500033078435,-3.71075225192976 40.416578518074083,-3.710658548081295 40.41659709864885,-3.710674277077933 40.416624033592562,-3.710737852994942 40.416646170791061,-3.710678981300198 40.416651036302412,-3.710234762861961 40.416685276025198,-3.709837239943289 40.416642654117219,-3.709790802462088 40.416638457217445,-3.709814871348483 40.416512163960199,-3.709815530613643 40.416259955408947,-3.709848489088717 40.416205676288243,-3.709793004837448 40.416183470903164,-3.709575486896671 40.41613075904165,-3.709537866754844 40.416194035195204,-3.709341589604511 40.416231291962092,-3.709313886278923 40.416222474506952,-3.709134509127313 40.416264128156065,-3.708773580005841 40.416338387559364)));2807901007
MULTIPOLYGON (((-3.708218474236668 40.413837261586671,-3.708239695203727 40.413823609018301,-3.708317656032785 40.413814109770634,-3.708372253262884 40.413818275294012,-3.708465855524296 40.41382672523126,-3.708536203897645 40.413862326718863,-3.708586157950322 40.413916102777719,-3.708643452936771 40.413830138662412,-3.708703948369538 40.413802758741276,-3.708783889363707 40.413806751600688,-3.708911475494927 40.413814975720598,-3.708913732653734 40.413860016116715,-3.709306716080553 40.414028795740769,-3.709466925424351 40.414063850740014,-3.709523379472204 40.41407700976611,-3.709592455233556 40.41409461294041,-3.709736883722492 40.414134246416346,-3.709841683504373 40.414151644553257,-3.709835978884314 40.414174193179299,-3.709828201431942 40.414201268062342,-3.709804371783184 40.414458155907624,-3.709794139622261 40.414570858802598,-3.709805424359767 40.414593317538618,-3.709790313831534 40.414733063997765,-3.709784533287777 40.414778117676384,-3.709762979757437 40.414868363852506,-3.709747223928535 40.414945028435156,-3.709740536408463 40.414972083104608,-3.709753692372218 40.415066616216833,-3.709781981629753 40.415170042943068,-3.709909073219017 40.415344931778186,-3.710192618224852 40.415338693101191,-3.710260498434053 40.415315767926444,-3.7103444925799 40.415558502354841,-3.710270584266784 40.415572446559821,-3.70952082711472 40.4157662526192,-3.709444837222043 40.41578920910414,-3.709363025895044 40.41581677784994,-3.708933739674327 40.415904980608495,-3.708704008352256 40.415955927056743,-3.708734568028779 40.415847640231,-3.708676115793131 40.415820984015703,-3.708780688907021 40.415572589810431,-3.708773864051732 40.415554586536807,-3.708767058367072 40.415541105684689,-3.70874906051366 40.41550970148284,-3.708722159255345 40.415473830216754,-3.708684920476934 40.415433521391421,-3.708663734465208 40.41541560613782,-3.708640735210285 40.415397759651896,-3.708617374964323 40.415384375751039,-3.708572895283909 40.415357620328209,-3.708509610129494 40.415330994545236,-3.708477463735811 40.41531768607932,-3.708462572740449 40.415304232230696,-3.708445129152141 40.415290816543788,-3.708430620647742 40.415277418906037,-3.708416818821326 40.415259475477669,-3.708409677717 40.415246032694981,-3.708221343112111 40.414814721774384,-3.708184306120184 40.414756384448268,-3.708174535694022 40.414742957754825,-3.708058833510697 40.414594970310979,-3.708023005555837 40.414550188642643,-3.708029375296307 40.414455535747713,-3.708051149163508 40.414356302912623,-3.70812786671295 40.414117065443108,-3.708178680812475 40.413905050653341,-3.708218474236668 40.413837261586671)));2807901008
MULTIPOLYGON (((-3.708218474236668 40.413837261586671,-3.708171814408648 40.413639315051817,-3.70807287448925 40.413648978719877,-3.70802444194252 40.413631229301934,-3.707730762651076 40.413551952256967,-3.707694851512357 40.413534144070766,-3.707760892038394 40.413511213601474,-3.707829261157055 40.413461254312431,-3.708185848917568 40.413112201681081,-3.708303232219831 40.412998878550852,-3.708346208543531 40.412949079917851,-3.70840194181867 40.41292621132866,-3.708536926131195 40.41297942676308,-3.708582418779828 40.412997170563116,-3.708635730034869 40.41291577591879,-3.708704515966406 40.412942400363669,-3.709065951517911 40.412881611099174,-3.709073547925759 40.412908573633914,-3.709147187050766 40.413115340873745,-3.709183712144067 40.413191726167526,-3.709275765451017 40.413330775581002,-3.709307004405117 40.413393670682844,-3.709855045326992 40.413214621804521,-3.709863277888946 40.413228062305727,-3.709869641211442 40.413237023273595,-3.709930768889729 40.413304216693497,-3.710151621369822 40.413397476085066,-3.710187280774673 40.413460343794902,-3.71021951688109 40.413514186539068,-3.710280394406534 40.4134912863476,-3.71044575304676 40.413521803838762,-3.710575990015765 40.413543513492066,-3.710653912726512 40.413601594257059,-3.710943450547761 40.413635871135092,-3.711086893683848 40.413653017906213,-3.711633110446145 40.413793781211439,-3.711661638697214 40.413807128191486,-3.711739060890888 40.413851706742697,-3.711816482721952 40.413891767207943,-3.711940208897964 40.41389100630731,-3.713115194640856 40.413892798503852,-3.713537639625569 40.413890196656595,-3.713655183427032 40.41389397659686,-3.71364638579693 40.413970598762823,-3.713600793220391 40.414394320525204,-3.713593757216112 40.414457410135462,-3.713587398122904 40.414520535206584,-3.713549687908674 40.414579308706628,-3.713509803557706 40.414917422774899,-3.713510552049197 40.415057014164752,-3.713362061238724 40.415053428634749,-3.712956372994925 40.41510548616948,-3.712477790126521 40.415166996046985,-3.712383244407589 40.415176600290415,-3.712204881087198 40.41524074262631,-3.711410902805399 40.415362746576584,-3.711034129130206 40.415432646544531,-3.710623145886513 40.415507238454104,-3.710498156453043 40.415530495888198,-3.7103444925799 40.415558502354841,-3.710260498434053 40.415315767926444,-3.710192618224852 40.415338693101191,-3.709909073219017 40.415344931778186,-3.709781981629753 40.415170042943068,-3.709753692372218 40.415066616216833,-3.709740536408463 40.414972083104608,-3.709747223928535 40.414945028435156,-3.709762979757437 40.414868363852506,-3.709784533287777 40.414778117676384,-3.709790313831534 40.414733063997765,-3.709805424359767 40.414593317538618,-3.709794139622261 40.414570858802598,-3.709804371783184 40.414458155907624,-3.709828201431942 40.414201268062342,-3.709835978884314 40.414174193179299,-3.709841683504373 40.414151644553257,-3.709736883722492 40.414134246416346,-3.709592455233556 40.41409461294041,-3.709523379472204 40.41407700976611,-3.709466925424351 40.414063850740014,-3.709306716080553 40.414028795740769,-3.708913732653734 40.413860016116715,-3.708911475494927 40.413814975720598,-3.708783889363707 40.413806751600688,-3.708703948369538 40.413802758741276,-3.708643452936771 40.413830138662412,-3.708586157950322 40.413916102777719,-3.708536203897645 40.413862326718863,-3.708465855524296 40.41382672523126,-3.708372253262884 40.413818275294012,-3.708317656032785 40.413814109770634,-3.708239695203727 40.413823609018301,-3.708218474236668 40.413837261586671)));2807901009
MULTIPOLYGON (((-3.708346208543531 40.412949079917851,-3.708385146882681 40.412903782604474,-3.708465698683427 40.412578966947443,-3.708467376748132 40.412529378975719,-3.708484707267634 40.412529272779821,-3.708498997473395 40.412524722129895,-3.708713938556699 40.412401761033379,-3.709125868889699 40.412205543453766,-3.709278717591731 40.412137056947465,-3.710308687189239 40.411693779758387,-3.710422890516842 40.411625511132293,-3.710378891312259 40.411504176440332,-3.710551766432137 40.411449033730833,-3.710589103211292 40.411462350273247,-3.710632178879208 40.411498099196706,-3.710642475395675 40.411529604517305,-3.710687252116782 40.411511266151592,-3.711093351492626 40.411463754626688,-3.711252519566123 40.4113997311688,-3.71145756696226 40.411461517627778,-3.711492762538851 40.411546914033281,-3.711504943864616 40.411587353661886,-3.711526121023492 40.411677319223728,-3.711529697045874 40.411767410217351,-3.711501472841384 40.411817088624737,-3.71147448070958 40.411844317905654,-3.711556671600226 40.411951899956499,-3.711612011834358 40.41210023206645,-3.711722885764051 40.412383305756947,-3.711778660881736 40.412504607957956,-3.711796782855576 40.41254505151683,-3.711901193596131 40.412805650294267,-3.711913233327476 40.412832608704591,-3.711917070207639 40.41284607162104,-3.711917260371693 40.412864115569114,-3.711912623661025 40.412877648679199,-3.711903590951535 40.412891208856813,-3.711677135384194 40.413041241444851,-3.711666900785899 40.41305036303779,-3.711659994794543 40.413059387564616,-3.711654274176086 40.413072967876445,-3.711653261002564 40.413081960635793,-3.711653036554527 40.413095449459561,-3.711676255989318 40.413343060692725,-3.71169268833798 40.413505141275387,-3.711708754731127 40.413662684446095,-3.7116973314346 40.413698826978823,-3.711661638697214 40.413807128191486,-3.711633110446145 40.413793781211439,-3.711086893683848 40.413653017906213,-3.710943450547761 40.413635871135092,-3.710653912726512 40.413601594257059,-3.710575990015765 40.413543513492066,-3.71044575304676 40.413521803838762,-3.710280394406534 40.4134912863476,-3.71021951688109 40.413514186539068,-3.710187280774673 40.413460343794902,-3.710151621369822 40.413397476085066,-3.709930768889729 40.413304216693497,-3.709869641211442 40.413237023273595,-3.709863277888946 40.413228062305727,-3.709855045326992 40.413214621804521,-3.709307004405117 40.413393670682844,-3.709275765451017 40.413330775581002,-3.709183712144067 40.413191726167526,-3.709147187050766 40.413115340873745,-3.709073547925759 40.412908573633914,-3.709065951517911 40.412881611099174,-3.708704515966406 40.412942400363669,-3.708635730034869 40.41291577591879,-3.708582418779828 40.412997170563116,-3.708536926131195 40.41297942676308,-3.70840194181867 40.41292621132866,-3.708346208543531 40.412949079917851)));2807901011
MULTIPOLYGON (((-3.707462772302239 40.41335539426715,-3.707461747238286 40.413220268443013,-3.707539735194401 40.412823395845976,-3.707571543734346 40.412661002295522,-3.707583041611558 40.412633922804758,-3.707603229451251 40.41259322700806,-3.707789551471875 40.412339846716478,-3.707873252241634 40.412172707442394,-3.708187470635635 40.411540144416556,-3.708378884542328 40.411286714835704,-3.708455729213237 40.411205117507556,-3.708615077692877 40.411294291851313,-3.709899159398242 40.411417022571619,-3.710273855625266 40.411495798279994,-3.710378891312259 40.411504176440332,-3.710422890516842 40.411625511132293,-3.710308687189239 40.411693779758387,-3.709278717591731 40.412137056947465,-3.709125868889699 40.412205543453766,-3.708713938556699 40.412401761033379,-3.708498997473395 40.412524722129895,-3.708484707267634 40.412529272779821,-3.708467376748132 40.412529378975719,-3.708465698683427 40.412578966947443,-3.708385146882681 40.412903782604474,-3.708346208543531 40.412949079917851,-3.708303232219831 40.412998878550852,-3.708185848917568 40.413112201681081,-3.707829261157055 40.413461254312431,-3.707760892038394 40.413511213601474,-3.707694851512357 40.413534144070766,-3.707545480828097 40.413584616128325,-3.707469610760154 40.41361659404658,-3.707465705263501 40.413494990414392,-3.707462772302239 40.41335539426715)));2807901012
