season_end_year,player,min_playing,gls_per,ast_per,x_g_per,x_ag_per
2005,Eric Djemba-Djemba,639,0,0.14,NA,NA
2005,Lee Hendrie,2062,0.22,0.09,NA,NA
2005,Thomas Hitzlsperger,1582,0.11,0.11,NA,NA
2005,Ulises de la Cruz,2815,0,0.16,NA,NA
2005,Martin Laursen,1035,0.09,0,NA,NA
2005,Gavin McCann,1765,0.05,0.05,NA,NA
2005,Olof Mellberg,2655,0.1,0.03,NA,NA
2005,Luke Moore,836,0.11,0,NA,NA
2005,Stefan Moore,4,0,NA,NA,NA
2005,Juan Pablo Ángel,2718,0.23,0.17,NA,NA
2005,Stefan Postma,225,0,0,NA,NA
2005,Liam Ridgewell,1129,0.08,0.08,NA,NA
2005,Jlloyd Samuel,3029,0,0,NA,NA
2005,Nolberto Solano,2788,0.26,0.16,NA,NA
2005,Thomas Sørensen,3195,0,0,NA,NA
2005,Darius Vassell,1398,0.13,0.06,NA,NA
2005,Peter Whittingham,568,0.16,0,NA,NA
2005,Adriano,665,0.27,0,NA,NA
2005,Demetrio Albertini,1159,0.08,0.08,NA,NA
2005,Gianpaolo Bellini,2554,0,0.07,NA,NA
2005,Antonino Bernardini,1923,0.05,0.19,NA,NA
2005,Igor Budan,1771,0.25,0.05,NA,NA
2005,Alex Calderoni,1484,0,0,NA,NA
2005,Daniele Capelli,721,0,NA,NA,NA
2005,Lampros Choutos,14,0,NA,NA,NA
2005,Gianni Comandini,6,0,0,NA,NA
2005,Marino Defendi,1,0,NA,NA,NA
2005,Carmine Gautieri,516,0.35,0,NA,NA
2005,Natale Gonnella,810,0,0.11,NA,NA
2005,Duccio Innocenti,423,0,0,NA,NA
2005,Andrea Lazzari,1849,0.05,0.1,NA,NA
2005,Stefano Lorenzi,3,0,NA,NA,NA
2005,Stephen Makinwa,1428,0.38,0.19,NA,NA
2005,Michele Marcolini,2795,0.13,0.06,NA,NA
2005,Giulio Migliaccio,800,0,0,NA,NA
2005,Nicola Mingazzini,1675,0,0.11,NA,NA
2005,Riccardo Montolivo,2187,0.12,0,NA,NA
2005,Marco Motta,1571,0,0.06,NA,NA
2005,Cesare Natali,3011,0.03,0.06,NA,NA
2005,Biagio Pagano,114,0,0,NA,NA
2005,Giampaolo Pazzini,614,0.44,NA,NA,NA
2005,Piá,421,0,0.21,NA,NA
2005,Claudio Rivalta,2790,0,0,NA,NA
2005,Luigi Sala,2482,0.11,0,NA,NA
2005,Luca Saudati,151,0,0,NA,NA
2005,Davide Sinigaglia,383,0.23,0,NA,NA
2005,Massimo Taibi,1936,0,0,NA,NA
2005,Damiano Zenoni,1300,0,0,NA,NA
2005,Igor Angulo,142,0,0,NA,NA
2005,Daniel Aranzubia,3302,0,0,NA,NA
2005,Joseba Arriaga,644,0,0.14,NA,NA
2005,Gorka Azkorra,144,0,0,NA,NA
2005,Endika Bordas,106,0,0,NA,NA
2005,César Caneda,323,0,0,NA,NA
2005,Javier Casas,1124,0,0,NA,NA
2005,Asier del Horno,2147,0.13,0.17,NA,NA
2005,Joseba Etxeberria,2686,0.1,0.23,NA,NA
2005,Santiago Ezquerro,2611,0.38,0.07,NA,NA
2005,Jonan García,471,0,0.19,NA,NA
2005,Javi González,669,0,0,NA,NA
2005,Julen Guerrero,232,1.16,0,NA,NA
2005,Felipe Guréndez,148,0,0,NA,NA
2005,Carlos Gurpegui,3010,0.12,0,NA,NA
2005,Andoni Iraola,2747,0.13,0.2,NA,NA
2005,Aitor Karanka,466,0,0,NA,NA
2005,Fernando Llorente,818,0.33,0,NA,NA
2005,Jesús María Lacruz,1114,0.16,0.08,NA,NA
2005,Jon Moya,92,0,NA,NA,NA
2005,Ander Murillo,2577,0,0,NA,NA
2005,Pablo Orbaiz,3113,0.09,0.03,NA,NA
2005,Roberto Pampin,118,0,0,NA,NA
2005,Luis Prieto Zalbidegoitia,2498,0,0.04,NA,NA
2005,Aritz Solabarrieta,324,0,0,NA,NA
2005,Tiko,2017,0.13,0.09,NA,NA
2005,Ismael Urzaiz,1828,0.59,0.1,NA,NA
2005,Francisco Yeste,2077,0.35,0.43,NA,NA
2005,Carlos Aguilera,871,0,0,NA,NA
2005,Luis Amaranto Perea,2768,0.03,0,NA,NA
2005,Salva Ballesta,1708,0.32,0.05,NA,NA
2005,Sergi Barjuán,2179,0,0,NA,NA
