crime_id,crime_type,crime_date,year,crime_lat,crime_lon
v3578,Sustraccion,9/11/2010,2010,39.47005081,-0.325520009
v3579,Agresion,9/11/2010,2010,39.47584534,-0.389190555
v358,Agresion,3/1/2010,2010,39.454017639999996,-0.373451322
v3580,Otros,9/11/2010,2010,39.46945953,-0.332545012
v3581,Otros,9/11/2010,2010,39.45643616,-0.37790826
v3582,Agresion,9/11/2010,2010,39.47646713,-0.384632975
v3583,Agresion,9/11/2010,2010,39.4737587,-0.36996755
v3584,Agresion,9/11/2010,2010,39.47584534,-0.389190555
v3585,Sustraccion,9/11/2010,2010,39.50072479,-0.420605004
v3586,Agresion,9/11/2010,2010,39.49252319,-0.358424157
v3587,Agresion,9/11/2010,2010,39.46126175,-0.392984986
v3588,Sustraccion,9/11/2010,2010,39.4753685,-0.32431981
v3589,Agresion,9/11/2010,2010,39.47732544,-0.367496729
v359,Agresion,3/2/2010,2010,39.47193146,-0.411516547
v3590,Agresion,9/11/2010,2010,39.45760345,-0.37414521
v3591,Otros,9/11/2010,2010,39.47166061,-0.336437166
v3592,Agresion,9/11/2010,2010,39.45760345,-0.37414521
v3593,Otros,9/11/2010,2010,39.48704147,-0.361189991
v3594,Otros,9/11/2010,2010,39.48062134,-0.383501768
v3595,Agresion,9/12/2010,2010,39.46076202,-0.363546431
v3596,Sustraccion,9/12/2010,2010,39.47111511,-0.37967816
v3597,Otros,9/12/2010,2010,39.44579315,-0.39033401
v3598,Agresion,9/12/2010,2010,39.4651947,-0.343829989
v3599,Agresion,9/12/2010,2010,39.47235107,-0.406715006
v36,Agresion,1/7/2010,2010,39.46259689,-0.377474993
v360,Sustraccion,3/2/2010,2010,39.46770477,-0.393984824
v3600,Agresion,9/12/2010,2010,39.43936539,-0.389158458
v3601,Agresion,9/12/2010,2010,39.47292328,-0.375307143
v3602,Agresion,9/12/2010,2010,39.48854065,-0.383348018
v3603,Agresion,9/12/2010,2010,39.46197891,-0.346119821
v3604,Agresion,9/12/2010,2010,39.47099304,-0.364544451
v3605,Agresion,9/12/2010,2010,39.47061539,-0.389245003
v3606,Otros,9/12/2010,2010,39.49519348,-0.399680167
v3607,Agresion,9/12/2010,2010,39.45663452,-0.363635272
v3608,Agresion,9/12/2010,2010,39.49058533,-0.374425948
v3609,Agresion,9/12/2010,2010,39.46121216,-0.335797727
v361,Agresion,3/2/2010,2010,39.49386978,-0.369185001
v3610,Sustraccion,9/12/2010,2010,39.47699356,-0.372230679
v3612,Agresion,9/12/2010,2010,39.50288773,-0.417744845
v3613,Agresion,9/12/2010,2010,39.45744324,-0.372204989
v3614,Agresion,9/12/2010,2010,39.49307251,-0.396381527
v3615,Agresion,9/12/2010,2010,39.45090866,-0.391939998
v3616,Agresion,9/12/2010,2010,39.47121048,-0.389129996
v3617,Agresion,9/12/2010,2010,39.49041367,-0.399650961
v3618,Sustraccion,9/12/2010,2010,39.47147369,-0.355895728
v3619,Otros,9/12/2010,2010,39.47642136,-0.348620683
v362,Agresion,3/2/2010,2010,39.49410629,-0.369785011
v3620,Agresion,9/12/2010,2010,39.49631119,-0.369284987
v3621,Agresion,9/12/2010,2010,39.4763031,-0.380461842
v3622,Agresion,9/12/2010,2010,39.47538757,-0.352200449
v3623,Otros,9/12/2010,2010,39.4796524,-0.381952822
v3624,Otros,9/13/2010,2010,39.49949265,-0.420690626
v3625,Agresion,9/13/2010,2010,39.46612549,-0.335877031
v3626,Agresion,9/13/2010,2010,39.4621048,-0.339825124
v3627,Agresion,9/13/2010,2010,39.48450089,-0.384411752
v3628,Agresion,9/13/2010,2010,39.46453857,-0.341868848
v3629,Agresion,9/13/2010,2010,39.47174835,-0.326079637
v363,Sustraccion,3/2/2010,2010,39.46982193,-0.383796304
v3630,Sustraccion,9/13/2010,2010,39.48719788,-0.37128529
v3631,Agresion,9/13/2010,2010,39.47156906,-0.381518066
v3632,Sustraccion,9/13/2010,2010,39.46193314,-0.366733909
v3633,Agresion,9/13/2010,2010,39.4878006,-0.3926
v3634,Agresion,9/13/2010,2010,39.49420547,-0.376632184
v3635,Agresion,9/14/2010,2010,39.48654938,-0.375214994
v3636,Otros,9/14/2010,2010,39.46102142,-0.376453221
v3637,Agresion,9/14/2010,2010,39.49481583,-0.383838058
v3638,Agresion,9/14/2010,2010,39.46850967,-0.411199987
v3639,Sustraccion,9/14/2010,2010,39.45714188,-0.366475642
v364,Sustraccion,3/2/2010,2010,39.48371887,-0.374413848
v3640,Agresion,9/14/2010,2010,39.47874451,-0.32803455
v3641,Sustraccion,9/14/2010,2010,39.46193314,-0.366733909
v3642,Agresion,9/14/2010,2010,39.4906311,-0.377097309
v3643,Agresion,9/14/2010,2010,39.49559784,-0.377735883
v3644,Agresion,9/14/2010,2010,39.4861412,-0.38908571
v3645,Sustraccion,9/14/2010,2010,39.46739197,-0.385700256
v3646,Agresion,9/14/2010,2010,39.49481583,-0.383838058
v3647,Agresion,9/14/2010,2010,39.46529007,-0.375019699
v3648,Agresion,9/14/2010,2010,39.46543884,-0.351437986
v3649,Agresion,9/14/2010,2010,39.4915123,-0.370620519
v365,AlarmasMujer,3/2/2010,2010,39.46128845,-0.400424987
v3650,Agresion,9/14/2010,2010,39.49689865,-0.375770569
v3651,Agresion,9/14/2010,2010,39.49539185,-0.369370013
v3652,Agresion,9/14/2010,2010,39.46121979,-0.338835001
v3653,Sustraccion,9/14/2010,2010,39.48295212,-0.355940759
v3654,Agresion,9/14/2010,2010,39.47731781,-0.381651133
v3655,Sustraccion,9/14/2010,2010,39.47870636,-0.34570846
v3656,Sustraccion,9/15/2010,2010,39.45972443,-0.36130479
v3657,Agresion,9/15/2010,2010,39.45872116,-0.362036735
v3658,Agresion,9/15/2010,2010,39.46147537,-0.370646179
v3659,Agresion,9/15/2010,2010,39.48729324,-0.372109205
v366,Sustraccion,3/2/2010,2010,39.47616577,-0.346985012
v3660,Sustraccion,9/15/2010,2010,39.47190475,-0.377051026
v3661,Otros,9/15/2010,2010,39.4648819,-0.39057377
v3662,Sustraccion,9/15/2010,2010,39.47456741,-0.34385559
v3663,Agresion,9/15/2010,2010,39.46489334,-0.333499998
v3664,Agresion,9/15/2010,2010,39.49627686,-0.376171291
v3665,Sustraccion,9/15/2010,2010,39.4648819,-0.39057377
v3666,Sustraccion,9/15/2010,2010,39.44762039,-0.372474998
v3667,Sustraccion,9/16/2010,2010,39.48251724,-0.383699864
v3668,Sustraccion,9/16/2010,2010,39.44320679,-0.390165001
v3669,Agresion,9/16/2010,2010,39.47099304,-0.377751023
v367,Agresion,3/2/2010,2010,39.47465134,-0.334695011
v3670,Agresion,9/16/2010,2010,39.49050522,-0.388500005
v3671,Agresion,9/16/2010,2010,39.46162033,-0.367410004
v3672,Agresion,9/16/2010,2010,39.4587822,-0.362733632
v3673,Otros,9/16/2010,2010,39.45586014,-0.35747382
v3674,Agresion,9/16/2010,2010,39.44929123,-0.380845249
v3675,Agresion,9/16/2010,2010,39.44901276,-0.368825555
v3676,Agresion,9/16/2010,2010,39.45850754,-0.363665164
v3677,Agresion,9/17/2010,2010,39.46186066,-0.377885014
v3678,Agresion,9/17/2010,2010,39.43834305,-0.386471719
v3679,Agresion,9/17/2010,2010,39.47147369,-0.355895728
v368,Agresion,3/3/2010,2010,39.46130371,-0.3464531
v3680,Sustraccion,9/17/2010,2010,39.48783875,-0.378910452
v3681,Sustraccion,9/17/2010,2010,39.49252319,-0.358424157
v3682,Agresion,9/17/2010,2010,39.4580307,-0.364990056
v3683,Otros,9/17/2010,2010,39.49961472,-0.395208836
v3684,Agresion,9/17/2010,2010,39.47235107,-0.406715006
v3685,Agresion,9/17/2010,2010,39.48474884,-0.359738916
v3686,Sustraccion,9/17/2010,2010,39.46678162,-0.37797001
v3687,Agresion,9/17/2010,2010,39.46990967,-0.410124928
v3688,Agresion,9/17/2010,2010,39.49519348,-0.399680167
v3689,Sustraccion,9/17/2010,2010,39.46562195,-0.367589802
v369,Agresion,3/3/2010,2010,39.46784973,-0.378308117
